Emilly Nascimento,9.6,9.5,9.0
Melissa Lopes,7.8,8.4,9.9
Luiz Otávio Nascimento,8.7,6.0,9.6
Lara Martins,6.3,5.9,7.9
Isabelly Aragão,7.9,8.8,6.0
Kamilly Barros,9.9,6.2,7.7
Kaique Novaes,8.0,5.5,5.2
Milena Nascimento,8.3,7.3,8.8
Benjamin Aragão,9.7,9.2,7.8
Felipe Farias,7.3,5.9,8.6
Luna Moraes,7.4,7.2,8.4
Isabel da Paz,6.6,9.2,8.8
Luiz Miguel Fogaça,9.7,7.0,9.7
Ana Carolina Pinto,9.2,7.4,6.6
Henrique das Neves,6.1,5.2,8.5
Laura da Mota,8.3,7.6,9.3
Benício Almeida,8.0,7.0,5.1
Luna Lopes,5.6,6.7,5.3
Caio Cardoso,6.0,5.0,8.7
Francisco Fernandes,7.4,8.8,8.0
André Silva,7.1,8.3,7.7
Matheus Jesus,9.0,8.5,9.0
Marcos Vinicius Peixoto,9.7,9.3,8.1
João Felipe Moraes,9.5,8.8,5.0
Carolina Correia,8.7,7.2,6.7
Brenda Castro,6.7,8.0,8.2
Luiz Henrique Duarte,9.4,7.9,9.0
Renan da Costa,7.0,5.3,9.2
Esther Sales,10.0,5.4,7.4
Nina Moreira,8.3,5.0,7.0
Natália Cavalcanti,9.6,7.7,9.8
Matheus Martins,6.9,8.2,5.9
Leonardo da Cunha,6.6,6.3,8.8
Isadora da Rocha,8.1,8.7,6.7
Pietro Martins,10.0,7.1,6.0
Fernanda Araújo,5.5,7.5,6.1
Lucca Caldeira,6.7,5.7,5.3
Manuela Nunes,5.7,9.9,6.3
Daniel Ribeiro,7.9,6.6,9.6
Natália Pereira,9.5,8.0,9.1
Kevin Mendes,7.5,8.4,6.4
Emanuel Fogaça,6.1,7.3,6.5
Melissa Moura,8.0,5.5,8.0
Isadora Pinto,8.4,9.9,9.6
Luiz Otávio Ribeiro,7.8,9.3,9.0
Ana Laura Porto,10.0,9.1,8.1
Luiz Gustavo Fernandes,6.4,8.5,6.5
Maria Fernanda Porto,7.2,5.8,6.9
Cauã Nogueira,8.6,9.8,8.7
Otávio Viana,6.0,6.3,9.3
João Gabriel Vieira,7.5,8.3,5.3
Maitê Freitas,9.8,9.6,7.2
Sabrina Moura,6.2,7.2,5.7
Maria Alice Lima,8.7,6.5,5.2
Alana Nunes,7.2,10.0,9.3
Clara Oliveira,9.0,9.6,6.8
Davi Luiz Gonçalves,6.1,8.0,7.5
Vitória Barbosa,7.6,6.4,6.5
Ana Carolina Nascimento,5.1,9.0,9.9
Otávio da Mota,9.7,7.2,5.0
Bárbara Cardoso,9.0,6.4,6.7
Thomas Novaes,7.2,8.0,5.5
Camila Novaes,8.9,8.4,7.2
Bárbara Fogaça,9.5,7.3,7.0
Bárbara Sales,9.5,9.9,9.5
Isadora Monteiro,8.2,5.9,7.5
Amanda da Paz,6.3,9.0,5.6
Davi Lucas Moraes,8.1,5.3,8.4
Matheus da Conceição,8.4,6.4,9.0
João Guilherme da Rocha,6.1,7.8,7.0
Raul da Costa,9.3,8.2,8.2
Juliana da Rosa,6.9,8.1,5.8
Guilherme Cunha,6.3,7.9,6.1
Vitória Rodrigues,6.7,9.6,7.5
Erick Cavalcanti,7.1,6.8,7.2
Ana da Rocha,7.8,7.2,6.3
Isadora Ribeiro,9.9,7.0,7.6
Giovanna Novaes,6.5,6.4,8.2
Pedro Henrique Gonçalves,7.1,7.3,8.1
Nina Gomes,6.8,8.5,7.8
