Isabelly da Rosa,6.2,7.3,9.7
Kamilly Aragão,9.7,5.0,6.8
Isabella Teixeira,9.7,8.5,6.6
Yago Moraes,7.0,8.3,9.6
Mirella Freitas,8.6,7.5,7.9
Rafael Carvalho,6.2,7.3,5.6
Benício Barros,9.6,5.8,5.4
Joaquim Aragão,9.7,6.5,6.3
Mirella Rocha,6.4,9.8,8.8
Ana Carolina Cunha,8.6,8.6,6.7
Ana Luiza Fernandes,9.4,8.6,5.8
Paulo Silveira,5.4,7.4,8.7
Bernardo da Luz,9.6,6.6,8.2
Daniel Rodrigues,7.3,5.7,5.8
Maria Clara Peixoto,6.1,6.0,6.7
Laís Sales,7.2,8.5,9.3
Laís Ribeiro,8.1,6.1,9.6
Natália Costela,7.7,5.3,5.9
Eduarda da Rosa,5.8,9.6,8.6
Milena Rezende,8.2,8.2,7.6
Vicente Nogueira,6.1,9.3,6.9
Emilly Martins,8.2,7.1,9.6
Laura Rodrigues,7.8,7.0,6.5
Natália Vieira,6.3,9.9,5.3
Bianca Silva,9.2,6.0,9.0
Ana Clara Ribeiro,5.6,8.6,7.8
João Lucas Lopes,9.7,8.2,9.9
Rafaela da Luz,6.3,7.7,7.4
Joana da Rocha,7.8,5.2,10.0
Raul Nascimento,8.1,8.7,9.6
Luiz Felipe Viana,7.1,8.5,8.2
Ana Júlia Aragão,9.6,8.1,8.8
Lara Monteiro,7.7,5.8,9.1
Agatha da Rosa,6.8,9.4,5.1
Arthur Lopes,9.8,5.1,8.3
Maysa Novaes,8.9,5.6,8.4
Caroline Gonçalves,9.9,6.7,9.2
Juliana Nogueira,8.8,9.5,6.0
Rafaela Mendes,9.0,6.6,6.4
Giovanna Silva,7.1,7.0,6.7
Raquel Rocha,7.5,7.3,6.4
Leonardo Martins,7.4,8.0,7.1
Lavínia Rodrigues,8.8,9.3,9.1
Isadora Barros,5.9,8.3,5.6
Luiz Henrique Moreira,9.5,6.6,9.4
Giovanna Azevedo,7.5,7.2,8.6
Maria Alice Silveira,10.0,6.3,8.5
Luigi Teixeira,5.6,5.4,9.9
Alícia Cavalcanti,7.6,8.9,9.2
Maria Cecília Dias,7.6,9.1,8.9
Maria Fernanda Lopes,5.3,9.4,8.7
Nathan Freitas,8.2,6.6,9.7
Helena Souza,7.5,6.1,6.6
Rafaela Nascimento,7.3,8.9,7.2
Clarice Costela,7.2,6.9,7.4
Caroline da Rocha,6.2,6.8,7.8
Juliana Gonçalves,5.5,5.6,9.8
Julia das Neves,8.7,8.9,5.3
Eduardo Cunha,9.1,7.3,7.9
Pedro Lucas Teixeira,7.9,5.8,8.3
Yuri Pinto,6.1,9.3,8.9
Caroline Caldeira,6.5,8.0,5.1
Fernando da Costa,7.6,5.6,6.3
Murilo Cunha,9.5,8.6,8.9
Caio da Costa,6.8,5.9,6.7
Maysa da Mota,6.5,5.1,6.6
Clarice Caldeira,9.2,6.1,8.8
Ana Sophia da Rosa,7.2,8.9,10.0
Igor Farias,9.1,5.9,6.1
Paulo Cavalcanti,8.4,8.2,9.9
Ana Vitória Rodrigues,9.7,6.3,8.4
Brenda Costa,9.8,9.0,7.3
Theo Nogueira,8.7,6.9,9.7
Cauê Pinto,7.8,5.9,5.5
Marcos Vinicius da Cunha,7.3,8.1,8.4
Eduarda Lima,7.2,7.1,9.4
Luna Moreira,5.1,9.4,9.2
Enrico Nogueira,5.8,6.2,7.4
Pedro Lucas Gomes,9.9,7.2,7.6
Maria Julia da Cruz,9.5,7.4,9.0
Calebe Silva,7.1,9.2,6.4
Davi Lucca Santos,9.3,5.6,6.7
Ian Duarte,9.9,7.3,5.9
Ana Nascimento,8.9,5.5,5.9
Kaique Barros,5.3,9.3,5.3
Stella da Rosa,9.7,7.3,5.3
Isabella Carvalho,9.0,5.9,7.5
Vitória Nascimento,5.4,6.6,7.9
João Pedro Alves,7.2,5.5,7.7
Maria Cecília Araújo,7.2,7.0,9.4
Clarice da Conceição,9.1,8.6,6.3
Augusto Silveira,5.8,7.7,8.6
Eloah Rodrigues,7.4,6.9,7.8
Lucas Gabriel Pereira,6.7,6.0,6.3
Bruno Costa,8.0,6.1,6.3
Luiz Felipe Martins,8.2,7.0,7.0
Nathan Barbosa,5.6,9.3,5.8
Lorenzo Aragão,9.7,7.9,8.5
Bárbara Costa,5.0,7.7,6.1
Ana Vitória Moreira,5.3,8.8,9.1
Leandro Cavalcanti,5.7,8.6,6.4
Maria Eduarda Pereira,7.2,5.4,8.9
Alice Cavalcanti,7.4,8.4,6.5
Bruna Souza,8.3,6.6,5.8
João Pedro Porto,5.1,9.0,7.3
Isabel da Mata,8.5,6.1,8.8
Eduardo Martins,8.8,9.1,7.2
Vitor Hugo da Cruz,6.1,6.1,6.9
Caroline da Costa,5.3,9.2,9.0
Joaquim Cardoso,9.9,5.2,5.9
Yago Cardoso,8.5,9.2,5.1
Natália Moura,5.7,7.9,7.5
Noah Mendes,7.3,7.4,8.7
Sabrina da Conceição,9.6,9.7,5.6
Yasmin Novaes,7.8,6.0,8.2
Leonardo das Neves,7.0,9.6,6.6
Brenda Aragão,6.6,6.0,5.3
Caio Teixeira,9.5,9.3,5.6
Ryan Almeida,9.9,8.1,6.1
Mariane Moraes,8.5,7.7,6.0
Lavínia Rezende,5.2,8.4,5.3
